epoch,step,total_train_loss,real_train_loss,recomposed_train_loss,contra_train_loss,real_train_acc,recomposed_train_acc,total_val_loss,real_val_loss,recomposed_val_loss,contra_val_loss,real_val_acc,recomposed_val_acc,sav_version
0,348,1.4062023817122669,0.6034893368681272,0.7967877372585493,0.05925305797076174,0.9929630775307435,0.7754280810724906,3.697301663850483,1.834254496975949,1.8100925119299638,0.5295462859304327,0.7390146977037478,0.7038702904497441,1
1,696,0.6967477615622953,0.1987578591824263,0.4769930062365943,0.20996898874351433,0.9864959026583429,0.7662241162790139,1.7474508348264193,0.8277800906645624,0.8399198604257483,0.7975090177435624,0.686631882273032,0.6429127136235593,2
2,1044,0.42854980049633434,0.09900468700276367,0.32529373689629565,0.04251375934376713,0.9802455119579595,0.7539826772448444,1.5723494934408289,0.7434109933674335,0.7496101362140555,0.7932837009429932,0.7049774664723367,0.644282170836727,3
3,1392,0.39264440686367025,0.0872050959124476,0.3020341220772129,0.03405188688815668,0.9817637140660095,0.7580138085626906,1.4117082780913304,0.6786564251309947,0.6553771715415152,0.7767464832255715,0.7023251418824067,0.6677132686608186,4
4,1740,0.3719346169596431,0.07980963827549727,0.2892066337510772,0.029183448763328724,0.9830073141268604,0.7571683656355067,1.3926797320968227,0.6775726240716482,0.6487111841377459,0.6639592804406819,0.7053477456829377,0.6361580940749119,5
5,2088,0.3601552888151558,0.07617050066761587,0.2812193922227484,0.027653948647430402,0.9832097398072442,0.7531343502958167,1.3028071224689484,0.6349547258333156,0.614319381745238,0.5353300006766069,0.7018726986898504,0.63221304609642,6
6,2436,0.3497808466868839,0.07298728549082217,0.27424711903193216,0.025464412435118496,0.9848344929059201,0.7515847020032543,1.2649167948647548,0.6321640728335631,0.5821295411963212,0.5062317252159119,0.697408231304428,0.6317739634450427,7
7,2784,0.336741239560404,0.06963918106523397,0.26483780674465085,0.022642528140467817,0.9854972599683637,0.7576480870713168,1.2074710899277736,0.6001515674747919,0.5537701813798201,0.5354933503427004,0.7058337663910077,0.6506944782582458,8
8,3132,0.33029923129869604,0.06774200341161127,0.26014426735968427,0.024129605686811238,0.9866791558624453,0.7579387438553812,1.2557716542168667,0.6338572721732291,0.5698072165250778,0.5210719500717363,0.6818597804657898,0.6829273456123439,8
9,3480,0.32304170577861796,0.06481421495862734,0.255731585382045,0.024959059782733006,0.986798354640454,0.7611038803592353,1.1848811617023067,0.5875889202089686,0.5481395948874322,0.49152648056808274,0.699618958846828,0.6389576595720342,9
10,3828,0.32290589526809493,0.0631327741704453,0.25740151278588963,0.02371608548872601,0.9875018418915578,0.7528296210663996,1.2344611836107153,0.6373439927242304,0.549200777160494,0.4791642458815324,0.6933657387235318,0.6664779478636149,9
11,4176,0.31836583741523067,0.06297870755902138,0.25307306336859864,0.0231406612953321,0.9869122316118023,0.7547174134375013,1.1244289028017145,0.5710918103393755,0.5068679208818235,0.4646916107127541,0.7175479380895528,0.6518156808173228,10
12,4524,0.31665667167854034,0.0626739923114321,0.25157792793436984,0.024047513610158843,0.9864719530344713,0.7506486845897363,1.1371541368333917,0.5805271232598707,0.5052363088256434,0.5139069965011195,0.7235797811267709,0.6702086300807671,10
13,4872,0.3125093697902115,0.06070077272624463,0.24948965655318622,0.023189397440452515,0.9867222644528892,0.7503984623192014,1.1556060188695003,0.5961630685549033,0.5109909255253641,0.4845203161239624,0.7046124067952443,0.6512552240490264,10
14,5220,0.3088703403870265,0.0598726662775052,0.2467611915935045,0.022364828829257482,0.9869116357173041,0.7515384547028416,1.115283528440877,0.5548660947304023,0.5134681118162054,0.4694930613040924,0.722279216796339,0.6584793091490294,11
15,5568,0.30104788431319696,0.058692802642953804,0.24017625790217828,0.02178824466289203,0.9876671634674826,0.7615964197268371,1.0750308789704974,0.5404939939709086,0.48224432844864695,0.522925604330866,0.7252576588432751,0.6436160266332149,12
16,5916,0.3051979617140759,0.0583131982698694,0.24473200119689278,0.021527620439214266,0.9871086549344104,0.752606981379315,1.064160334436517,0.5289445380239111,0.4815089326155813,0.5370687544345856,0.7358675422996314,0.6779456554049123,13
17,6264,0.2997097910392558,0.05697689813443984,0.24074928974197513,0.019836024525735914,0.9876273562167313,0.7535629770601011,1.0469269250568591,0.53767674475124,0.45659120929868596,0.5265896100746957,0.7327364275620989,0.6918536302215466,14
18,6612,0.2970558276036005,0.05645112728635813,0.2385286040732573,0.020760967016177273,0.98753897703041,0.7558685533021399,1.009430220252589,0.4910843170395023,0.4667334948715411,0.5161241136099163,0.7311391292871541,0.6250401370286512,15
19,6960,0.2982546665288251,0.05664585169468974,0.239561820359922,0.02046995069135794,0.9879618594408995,0.7539016566612571,0.9832315052810469,0.49361518025398254,0.4364357520090906,0.5318058368406797,0.7147498678982499,0.6768336693835936,16
20,7308,0.2862546531719038,0.055465869204109085,0.22881746292114258,0.01971320557707771,0.9875396141144941,0.7645502531224616,1.0712616616173793,0.5279509583978277,0.49201721580404983,0.5129348055312508,0.7291847546144489,0.6437393202747155,16
21,7656,0.2880593106236266,0.05496520757268386,0.23107055328443818,0.020235501829235034,0.9875909678647427,0.756724117582701,1.0403597511743243,0.533799121058301,0.454966570201673,0.5159404764049932,0.7117080728931039,0.6706565064620493,16
